,_id,DLY_QTY,DLY_GAIN,DLY_AWD_QTY,DLY_AWD_GAIN,TYPE,DATE,HOUR
4669,"{'DATE': '20190429', 'HOUR': 14.0, 'TYPE': 'BID'}",429.759,0.0,429.759,20039.66217,BID,20190429,14.0
4670,"{'DATE': '20190408', 'HOUR': 6.0, 'TYPE': 'OFF'}",1198.269,13626.0,1198.269,49847.9904,OFF,20190408,6.0
4671,"{'DATE': '20190106', 'HOUR': 13.0, 'TYPE': 'OFF'}",743.99,0.0,743.99,44803.0778,OFF,20190106,13.0
4672,"{'DATE': '20181218', 'HOUR': 16.0, 'TYPE': 'BID'}",874.881,0.0,874.881,63411.37488,BID,20181218,16.0
4673,"{'DATE': '20190405', 'HOUR': 14.0, 'TYPE': 'OFF'}",1246.269,16384.0,1246.269,57153.89634,OFF,20190405,14.0
4674,"{'DATE': '20181218', 'HOUR': 12.0, 'TYPE': 'BID'}",965.867,0.0,965.867,64751.72368,BID,20181218,12.0
4675,"{'DATE': '20190115', 'HOUR': 6.0, 'TYPE': 'OFF'}",789.324,42.0,789.324,46112.30808,OFF,20190115,6.0
4676,"{'DATE': '20191124', 'HOUR': 5.0, 'TYPE': 'OFF'}",820.23,9523.0,820.23,24606.9,OFF,20191124,5.0
4677,"{'DATE': '20190404', 'HOUR': 23.0, 'TYPE': 'BID'}",549.218,0.0,549.218,26895.205459999997,BID,20190404,23.0
4678,"{'DATE': '20191112', 'HOUR': 14.0, 'TYPE': 'OFF'}",121.031,0.0,121.031,6287.09335,OFF,20191112,14.0
4679,"{'DATE': '20181218', 'HOUR': 11.0, 'TYPE': 'BID'}",977.234,0.0,977.234,66491.00136000001,BID,20181218,11.0
4680,"{'DATE': '20181218', 'HOUR': 9.0, 'TYPE': 'BID'}",932.649,0.0,932.649,67962.13263000001,BID,20181218,9.0
4681,"{'DATE': '20190330', 'HOUR': 8.0, 'TYPE': 'BID'}",510.814,0.0,510.814,27108.898979999998,BID,20190330,8.0
4682,"{'DATE': '20190203', 'HOUR': 16.0, 'TYPE': 'OFF'}",707.2,1341.0,707.2,35579.232,OFF,20190203,16.0
4683,"{'DATE': '20181218', 'HOUR': 5.0, 'TYPE': 'BID'}",586.967,0.0,586.967,26842.00091,BID,20181218,5.0
4684,"{'DATE': '20181218', 'HOUR': 2.0, 'TYPE': 'BID'}",600.8779999999999,0.0,600.8779999999999,28860.17034,BID,20181218,2.0
4685,"{'DATE': '20190309', 'HOUR': 24.0, 'TYPE': 'OFF'}",693.667,16067.6,693.667,34322.64316,OFF,20190309,24.0
4686,"{'DATE': '20191020', 'HOUR': 13.0, 'TYPE': 'OFF'}",584.9110000000001,10203.64,584.9110000000001,23180.022930000003,OFF,20191020,13.0
4687,"{'DATE': '20190506', 'HOUR': 2.0, 'TYPE': 'OFF'}",303.941,2880.0,303.941,12157.64,OFF,20190506,2.0
4688,"{'DATE': '20190428', 'HOUR': 17.0, 'TYPE': 'BID'}",196.493,0.0,196.493,4994.85206,BID,20190428,17.0
4689,"{'DATE': '20190730', 'HOUR': 9.0, 'TYPE': 'OFF'}",691.4,19323.4,691.4,36561.232,OFF,20190730,9.0
4690,"{'DATE': '20191114', 'HOUR': 3.0, 'TYPE': 'BID'}",259.228,0.0,259.228,10462.442079999999,BID,20191114,3.0
4691,"{'DATE': '20190309', 'HOUR': 14.0, 'TYPE': 'OFF'}",384.502,0.0,384.502,15372.389959999999,OFF,20190309,14.0
4692,"{'DATE': '20191210', 'HOUR': 14.0, 'TYPE': 'BID'}",727.855,0.0,727.855,35512.04545,BID,20191210,14.0
4693,"{'DATE': '20190309', 'HOUR': 13.0, 'TYPE': 'OFF'}",629.669,13935.599999999999,629.669,27780.996279999996,OFF,20190309,13.0
4694,"{'DATE': '20190309', 'HOUR': 9.0, 'TYPE': 'OFF'}",629.402,16180.85,629.402,37745.23794,OFF,20190309,9.0
4695,"{'DATE': '20190615', 'HOUR': 20.0, 'TYPE': 'BID'}",525.861,0.0,525.861,27397.3581,BID,20190615,20.0
4696,"{'DATE': '20190309', 'HOUR': 4.0, 'TYPE': 'OFF'}",721.404,15547.85,721.404,37383.15528,OFF,20190309,4.0
4697,"{'DATE': '20181213', 'HOUR': 20.0, 'TYPE': 'OFF'}",792.297,8628.3,792.297,67345.24500000001,OFF,20181213,20.0
4698,"{'DATE': '20190526', 'HOUR': 23.0, 'TYPE': 'BID'}",383.886,0.0,383.886,19125.200520000002,BID,20190526,23.0
4699,"{'DATE': '20190604', 'HOUR': 13.0, 'TYPE': 'OFF'}",635.9879999999999,8002.91,635.9879999999999,23887.70928,OFF,20190604,13.0
4700,"{'DATE': '20190817', 'HOUR': 5.0, 'TYPE': 'OFF'}",847.6510000000001,15172.86,847.6510000000001,27782.7965,OFF,20190817,5.0
4701,"{'DATE': '20190526', 'HOUR': 12.0, 'TYPE': 'OFF'}",793.456,16417.02,793.456,38014.47696,OFF,20190526,12.0
4702,"{'DATE': '20191102', 'HOUR': 11.0, 'TYPE': 'OFF'}",1032.274,15919.649999999998,1032.274,46596.84836,OFF,20191102,11.0
4703,"{'DATE': '20190521', 'HOUR': 18.0, 'TYPE': 'BID'}",531.248,0.0,531.248,27237.084960000004,BID,20190521,18.0
4704,"{'DATE': '20191129', 'HOUR': 2.0, 'TYPE': 'OFF'}",713.825,18840.0,713.825,25887.5375,OFF,20191129,2.0
4705,"{'DATE': '20190318', 'HOUR': 14.0, 'TYPE': 'BID'}",485.103,0.0,485.103,23168.51928,BID,20190318,14.0
4706,"{'DATE': '20190804', 'HOUR': 10.0, 'TYPE': 'OFF'}",471.298,13328.84,471.298,17359.21036,OFF,20190804,10.0
4707,"{'DATE': '20190309', 'HOUR': 13.0, 'TYPE': 'BID'}",495.487,0.0,495.487,21860.88644,BID,20190309,13.0
4708,"{'DATE': '20191119', 'HOUR': 16.0, 'TYPE': 'OFF'}",421.983,43.0,421.983,27525.951090000002,OFF,20191119,16.0
4709,"{'DATE': '20190502', 'HOUR': 15.0, 'TYPE': 'BID'}",526.595,0.0,526.595,32454.04985,BID,20190502,15.0
4710,"{'DATE': '20190419', 'HOUR': 13.0, 'TYPE': 'BID'}",523.973,0.0,523.973,20958.92,BID,20190419,13.0
