generator,number,operator,zone,max_quantity,min_quantity
UPV_SWGDOEOMPXGO,210,['OMPEX AG'],['SVIZ'],275,1
UPV_SWGDOEHSEDLO,211,['HSE D.O.O.'],['SVIZ'],174,3
UPV_SWGDOEGTIPEO,212,['GEN-I TRGOVANJE IN PRODAJA ELEKTRICNE ENERGIJE D.O.O.'],['SVIZ'],890,1
UP_SOSPIROLO_1,213,"['ENEL PRODUZIONE S.P.A.', 'Bilateralista']",['NORD'],84888,0
UP_LAMARMORA_1,214,"['A2A SPA', 'Bilateralista']",['NORD'],81.84,10.23
UP_FUSINA_T_3,215,"['ENEL PRODUZIONE S.P.A.', 'Bilateralista']",['NORD'],1290,0
UPV_SWGDOEENSPAO,216,['ENOI S.P.A.'],['SVIZ'],145,1
UPV_SWGDOEENRGKO,217,['ENERGI DANMARK A/S'],['SVIZ'],1150,1
UP_SNGVNPBLLN_1,218,"['TRAILSTONE GMBH', 'ENEL PRODUZIONE S.P.A.']",['SARD'],47.93,1
UPV_SWGDOEDCANSO,219,['DANSKE COMMODITIES A.S'],['SVIZ'],2835,1
UP_PWHIRLPOOL_1,220,"['FENICE S.P.A.', 'FREE ENERGIA SPA']",['NORD'],15416,2
UPV_SWGDOEES-TGO,221,['UNIPER GLOBAL COMMODITIES SE'],['SVIZ'],538,66
UP_CRLENTINIB_1,222,['ERG POWER GENERATION S.P.A.'],['SICI'],64.22,4
UPV_SWGDOEAAETTO,223,['AZIENDA ELETTRICA TICINESE'],['SVIZ'],135,1
UPV_SWGD108373O,224,['GNERA ENERGIA Y TECNOLOGIA'],['SVIZ'],1166,1
UP_DI2336_CNOR_C,225,['GNERA ENERGIA Y TECNOLOGIA'],['CNOR'],84687,1
UPV_SWGD105401O,226,"['DXT COMMODITIES SA', 'DUFENERGY TRADING SA', 'Bilateralista']",['SVIZ'],1000,1
UPV_HELMOEESLCDR,227,['ELECTRADE SPA'],['GREC'],30,5
UPV_RTEPOECDVTTO,228,['Bilateralista'],['FRAN'],45,6
UPV_HELD107165R,229,['DENCO SRL'],['GREC'],300,5
UP_MALALBERGO_1,230,['BANCO ENERGIA SPA'],['CNOR'],90.3,1
UP_PRECI_1,231,"['Bilateralista', 'ERG POWER GENERATION S.P.A.']",['CNOR'],39.68,5
UPV_HELYOEGTIPER,232,['GEN-I TRGOVANJE IN PRODAJA ELEKTRICNE ENERGIJE D.O.O.'],['GREC'],176,10
UP_GARGANO1_1,233,['EDISON SPA'],['SUD'],110123,19
UP_DI1516_NORD_C,234,"['ALPIQ SA', 'Bilateralista', 'ALPIQ AG']",['NORD'],244,2
UPV_HELYOEELCTBR,235,['ENGIE ITALIA SPA'],['GREC'],90,3
UPV_HELMOEPPCSBR,236,['PUBLIC POWER CORPORATION S.A.'],['GREC'],10,5
UPV_HELM121701R,237,['MYTILINEOS GROUP OF COMPANIES SOCIETE ANONYME'],['GREC'],79,1
UP_DI0370_NORD_B,238,['BURGO ENERGIA S.R.L.'],['NORD'],20102,15
UPV_HELDOEELCTBR,239,['ENGIE ITALIA SPA'],['GREC'],360,1
UPV_SWGHOEESSNRO,240,['EVIVA SPA'],['SVIZ'],24,9
UPV_SWGD104441O,241,['RWE SUPPLY  TRADING GMBH'],['SVIZ'],600,18
UP_CADAU1_1,242,"['DUFENERGY TRADING SA', 'DXT COMMODITIES SA']",['SARD'],114219,1
UP_ZUINO_1,243,"['Bilateralista', 'C.V.A. TRADING S.R.L. A S.U.']",['NORD'],54,0.59
UP_ZGNGOPOWER_1,244,['ENOI S.P.A.'],['NORD'],81.2,1.4
UP_VOLTURINO_1,245,['EDISON SPA'],['SUD'],44473,1
UP_DI1174_CSUD_A,246,['ELECTRADE SPA'],['CSUD'],13578,205
UPV_HELDOEDCANSR,247,['DANSKE COMMODITIES A.S'],['GREC'],326,1
UP_VOLTURARA_1,248,['EDISON SPA'],['SUD'],36243,2
UPV_SWGDOEHTSRRO,249,['HERA TRADING S.R.L.'],['SVIZ'],100,1
UP_FAUBOURG_1,250,['Bilateralista'],['NORD'],14.5,22
UP_DI2055_SUD_Z,251,['EGO TRADE SPA'],['SUD'],6144,5
UP_VOGHERA_1,252,"['Bilateralista', 'ENGIE ITALIA SPA']",['NORD'],4352002,355
UP_VNTPANSANO_1,253,['GSE SPA'],['CSUD'],81.99,19
UP_VLLSCCRDA1_1,254,['ENEL PRODUZIONE S.P.A.'],['CSUD'],40098,22
UP_VIZZINI_2,255,"['DUFENERGY TRADING SA', 'DXT COMMODITIES SA']",['SICI'],108644,6
UP_VINCHIANA_1,256,['ENEL PRODUZIONE S.P.A.'],['CNOR'],59517,2512
UP_VILLA_S.M_1,257,"['Bilateralista', 'ENEL PRODUZIONE S.P.A.']",['CSUD'],122,8
UP_VILLA_RIN_1,258,['EDISON SPA'],['NORD'],25493,724
UP_NPWRMNTOVA_3,259,"['Bilateralista', 'ENI SPA']",['NORD'],1560,0
UP_VILLA_1,260,"['Bilateralista', 'IREN ENERGIA SPA']",['NORD'],227.4,1
UP_VERAMPIO_1,261,"['ENEL PRODUZIONE S.P.A.', 'Bilateralista']",['NORD'],85753,4586
UP_VENAUS_1,262,"['Bilateralista', 'ENEL PRODUZIONE S.P.A.']",['NORD'],999.38,0
UP_TORREVALN_2,263,"['ENEL PRODUZIONE S.P.A.', 'Bilateralista']",['CSUD'],2804,0
UP_VENAMARTE_1,264,"['ENEL PRODUZIONE S.P.A.', 'Bilateralista']",['CNOR'],27216,1555
UP_VALCIMARR_2,265,['Bilateralista'],['CNOR'],51938,3.24
UP_VARZO_2_1,266,['ENEL PRODUZIONE S.P.A.'],['NORD'],79124,78
UP_WNDFRMMLF2_1,267,"['DUFENERGY TRADING SA', 'DXT COMMODITIES SA']",['SUD'],310.54,1
UP_VARZO_1,268,"['Bilateralista', 'ENEL PRODUZIONE S.P.A.']",['NORD'],44786,15076
